street_number,latitude,longitude,name_and_business,icon
237,-31.94815173,115.8594664,A J Cambridge & Co. Estate Agents,icon_1920
183,-31.94951054,115.8586061,A Krakour. Clothier,icon_1920
185,-31.9494492,115.8585526,A Krakour. Clothier,icon_1920
187,-31.94944527,115.8587148,A Passaris. Oyster Saloon,icon_1920
219,-31.94852713,115.8593428,Albany Bell Ltd. Confectioners,icon_1920
201,-31.94911609,115.8590955,"Albert Hutchins, Bootmaker",icon_1920
257,-31.94760683,115.8598396,"Alex Patman, Wine Saloon, Confectioner & Fruiterer",icon_1920
321,-31.94610856,115.8609936,Alex Trouchet. Chemist,icon_1920
287,-31.94692308,115.8602985,"Alfred Juleff, Fruiterer & Confectioner",icon_1920
317,-31.94637922,115.8608135,Alfred S Locke. Eye Agt,icon_1920
393,-31.9444653,115.8620602,Ambrose H Major. Butcher,icon_1920
319,-31.94620335,115.8606847,"Arthur Barnard, Fruiterer & Confectioner",icon_1920
289,-31.94683119,115.8602775,Arthur O'Donnell. Hairdresser & Tobacconist,icon_1920
310,-31.94673274,115.8611876,"Ben Jones, Boot Dealer & Maker",icon_1920
312,-31.94659069,115.8610531,"Ben Jones, Boot Dealer & Maker",icon_1920
284,-31.94720853,115.8606896,"Bennett & Burnside, Grocers",icon_1920
415,-31.94394138,115.8621929,Bernhardt Santinover. Picture Frame Maker,icon_1920
453,-31.94303548,115.8627134,Bert Mantova,icon_1920
277,-31.9472843,115.8601413,Blue Bros. Drapers & Iron Mongers,icon_1920
281,-31.94721902,115.8600186,Blue Bros. Drapers & Iron Mongers,icon_1920
253,-31.94776862,115.8599617,Britannia Coffee Palace. D. Bevan & W. Johns (proprietors),icon_1920
255,-31.9476946,115.8598678,Britannia Coffee Palace. D. Bevan & W. Johns (proprietors),icon_1920
430,-31.94395913,115.8630993,C H Fielder. Grocer,icon_1920
263,-31.94758099,115.860048,C Strickland. Tailor,icon_1920
295,-31.94670076,115.8605385,Chas H Nielson,icon_1920
414,-31.94425214,115.8628364,David Calvin,icon_1920
178,-31.94968645,115.8591091,Davies-Franklin Agency (J Turnbull manager),icon_1920
184,-31.94963988,115.8592832,Dennis Florias. Oyster Saloon,icon_1920
320,-31.94656194,115.8613236,Dewar & Walsh Grocers; Fred T Walsh (D & W),icon_1920
292,-31.94704881,115.8607627,"Du Rieu, Nurse",icon_1920
215,-31.94860366,115.8592193,"E E Jones, Hairdresser & Tobacconist",icon_1920
449,-31.9431105,115.8626592,Edward Ward,icon_1920
445,-31.94317471,115.8626471,Edwin S Chamberlain,icon_1920
425,-31.94383742,115.862405,"Edwin Sara, Grocer",icon_1920
451,-31.94313168,115.8628801,Ernest R Curling,icon_1920
437,-31.94327966,115.8625694,Frederick G Nicolla,icon_1920
362,-31.94541215,115.8618388,Frederick R Flowler,icon_1920
383,-31.94459605,115.861795,"Fredrick Kendall, Smallgoods",icon_1920
384,-31.94492482,115.8623108,George Way. Herbalist,icon_1920
247,-31.94779455,115.8596969,Gleeson Jno. Hairdresser & Tobacconist,icon_1920
