street_number,latitude,longitude,name_and_business,icon
168,-31.950002649999900,115.859127099999000,"Gov. Broome Hotel (W G Davis, licensee)",icon_1930
176,-31.949837330000000,115.859171000000000,"Holway, Hedley J, tob & hdssr",icon_1930
178,-31.949686450000000,115.859109100000000,Macedonian Home,icon_1930
180,-31.949760990000000,115.859321400000000,Macedonian Home,icon_1930
183,-31.949510539999900,115.858606100000000,"Reid Robt R, chemst & opten ",icon_1930
184,-31.949639879999900,115.859283199999000,"Florias D F, cafe",icon_1930
186,-31.949644780000000,115.859382299999000,"Tobacconist. Beckman, M L, dlr",icon_1930
188,-31.949512609999900,115.859213400000000,"Thomas, R J, tobcnst",icon_1930
190,-31.949521010000000,115.859512400000000,"George, Jno H, frtr & cnf",icon_1930
192,-31.949549170000000,115.859329600000000,"Cohen, Saml, tailor",icon_1930
200,-31.949243289999900,115.859423699999000,"Symonds, Edwin, sd & plant merchant",icon_1930
202,-31.949264889999900,115.859625100000000,"Symonds, Edwin, sd & plant merchant",icon_1930
204,-31.949105079999900,115.859471600000000,"Menara, V, cafe",icon_1930
206,-31.949127180000000,115.859631900000000,Bank of NSW,icon_1930
208,-31.949014559999900,115.859524900000000,"Mistrorigo & Lankester, chemist",icon_1930
210,-31.948949590000000,115.859630400000000,"Downs, Mrs A D, tea rooms",icon_1930
212,-31.948852270000000,115.859655000000000,Genl Embroidery Wks,icon_1930
214,-31.948891520000000,115.859785600000000,"Nationa Bank of Australasia Pty Ltd (W Choyce, mgr)",icon_1930
218,-31.948785070000000,115.859783600000000,"Kelly, Mrs E, dng rms",icon_1930
220,-31.948666270000000,115.859727800000000,"Rosen Dave, pawn broker",icon_1930
222,-31.948595210000000,115.859810700000000,"Wachman & Sons, drprs",icon_1930
224,-31.948656310000000,115.859959700000000,Rechabites Hall,icon_1930
230,-31.948511669999900,115.859872200000000,Famous Lasky Film Service Ltd (reg ofce),icon_1930
232,-31.948538750000000,115.860051799999000,"Marzo, Alfred, tlr",icon_1930
234,-31.948434299999900,115.859933600000000,"Milevich, Matt, ldghouse",icon_1930
236,-31.948466289999900,115.860124200000000,"Wrightson, E, hairdresser",icon_1930
238,-31.948327389999900,115.859933900000000,"Lee, Mrs Annie, dng rms",icon_1930
240,-31.948362629999900,115.860093500000000,"Hang Lee, lndry",icon_1930
246,-31.948067410000000,115.860118000000000,"Thomas Mrs E A, dlr and dyer",icon_1930
248,-31.948075710000000,115.860280300000000,"Thomas Mrs E A, dining rooms",icon_1930
250,-31.947991479999900,115.860163700000000,"Salter, R, estate agent",icon_1930
311,-31.946425710000000,115.860547500000000,"Noack, R, Ladies Hairdressers",icon_1930
313,-31.946469400000000,115.860761700000000,St Kilda Cafe,icon_1930
452,-31.943220579999900,115.863195600000000,"Wright, G C, uphlstr",icon_1930
454,-31.943306840000000,115.863460900000000,"Wright, G C, uphlstr",icon_1930
458,-31.943170530000000,115.863475300000000,"Riseley, Victor, G C, newsagent and State Savings Bank agency",icon_1930
460,-31.943084519999900,115.863262700000000,"Keirnan, John M, wine sln",icon_1930
222b,-31.948750480000000,115.859930700000000,"Radin, A, conf",icon_1930
242 Ground,-31.948268410000000,115.859997200000000,Macedonian & Jugo-Slav Home,icon_1930
