street_number,latitude,longitude,name_and_business,icon
206,-31.94912718,115.8596319,Bank of NSW,icon_1930
192,-31.94954917,115.8593296,"Cohen, Saml, tailor",icon_1930
210,-31.94894959,115.8596304,"Downs, Mrs A D, tea rooms",icon_1930
230,-31.94851167,115.8598722,Famous Lasky Film Service Ltd (reg ofce),icon_1930
184,-31.94963988,115.8592832,"Florias D F, cafe",icon_1930
212,-31.94885227,115.859655,Genl Embroidery Wks,icon_1930
190,-31.94952101,115.8595124,"George, Jno H, frtr & cnf",icon_1930
168,-31.95000265,115.8591271,"Gov. Broome Hotel (W G Davis, licensee)",icon_1930
240,-31.94836263,115.8600935,"Hang Lee, lndry",icon_1930
176,-31.94983733,115.859171,"Holway, Hedley J, tob & hdssr",icon_1930
460,-31.94308452,115.8632627,"Keirnan, John M, wine sln",icon_1930
218,-31.94878507,115.8597836,"Kelly, Mrs E, dng rms",icon_1930
238,-31.94832739,115.8599339,"Lee, Mrs Annie, dng rms",icon_1930
178,-31.94968645,115.8591091,Macedonian Home,icon_1930
180,-31.94976099,115.8593214,Macedonian Home,icon_1930
232,-31.94853875,115.8600518,"Marzo, Alfred, tlr",icon_1930
204,-31.94910508,115.8594716,"Menara, V, cafe",icon_1930
234,-31.9484343,115.8599336,"Milevich, Matt, ldghouse",icon_1930
208,-31.94901456,115.8595249,"Mistrorigo & Lankester, chemist",icon_1930
214,-31.94889152,115.8597856,"Nationa Bank of Australasia Pty Ltd (W Choyce, mgr)",icon_1930
311,-31.94642571,115.8605475,"Noack, R, Ladies Hairdressers",icon_1930
224,-31.94865631,115.8599597,Rechabites Hall,icon_1930
183,-31.94951054,115.8586061,"Reid Robt R, chemst & opten ",icon_1930
458,-31.94317053,115.8634753,"Riseley, Victor, G C, newsagent and State Savings Bank agency",icon_1930
220,-31.94866627,115.8597278,"Rosen Dave, pawn broker",icon_1930
250,-31.94799148,115.8601637,"Salter, R, estate agent",icon_1930
313,-31.9464694,115.8607617,St Kilda Cafe,icon_1930
200,-31.94924329,115.8594237,"Symonds, Edwin, sd & plant merchant",icon_1930
202,-31.94926489,115.8596251,"Symonds, Edwin, sd & plant merchant",icon_1930
248,-31.94807571,115.8602803,"Thomas Mrs E A, dining rooms",icon_1930
246,-31.94806741,115.860118,"Thomas Mrs E A, dlr and dyer",icon_1930
188,-31.94951261,115.8592134,"Thomas, R J, tobcnst",icon_1930
186,-31.94964478,115.8593823,"Tobacconist. Beckman, M L, dlr",icon_1930
182,-31.94961182,115.8591643,Vacant,icon_1930
194,-31.94941671,115.859287,Vacant,icon_1930
196,-31.94943879,115.8594474,Vacant,icon_1930
198,-31.94933774,115.8594533,Vacant,icon_1930
226,-31.94858297,115.8598626,Vacant,icon_1930
456,-31.94330654,115.8632512,Vacant,icon_1930
222,-31.94859521,115.8598107,"Wachman & Sons, drprs",icon_1930
452,-31.94322058,115.8631956,"Wright, G C, uphlstr",icon_1930
454,-31.94330684,115.8634609,"Wright, G C, uphlstr",icon_1930
236,-31.94846629,115.8601242,"Wrightson, E, hairdresser",icon_1930
